Player,Team,(Bye),TE,Overall,CBS,Sleeper,RTSports,AVG,RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,REC PER GAME,YDS PER GAME,YBC PER GAME,AIR PER GAME,YAC PER GAME,YACON PER GAME,BRKTKL PER GAME,TGT PER GAME,CATCHABLE PER GAME,DROP PER GAME,RZ TGT PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,TOTAL_REC,TOTAL_YDS,TOTAL_YBC,TOTAL_AIR,TOTAL_YAC,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TGT,TOTAL_CATCHABLE,TOTAL_DROP,TOTAL_RZ_TGT,TOTAL_10YDS,TOTAL_20YDS
Brock Bowers,LV,8,1,16,1.0,1,1.0,1.0,106.0,1131.5,6.1,0.5,149.7,17.0,7.0,70.0,35.0,55.0,35.0,10.0,0.0,9.0,7.0,0.0,1.0,3.0,1.0,119.0,1190.0,595.0,935.0,595.0,170.0,0.0,153.0,119.0,0.0,17.0,51.0,17.0
Trey McBride,ARI,8,2,26,3.0,2,2.0,2.3,104.4,1053.1,5.8,0.5,139.4,16.0,7.0,72.0,40.0,56.0,32.0,10.0,0.0,9.0,7.0,0.0,1.0,3.0,1.0,112.0,1152.0,640.0,896.0,512.0,160.0,0.0,144.0,112.0,0.0,16.0,48.0,16.0
George Kittle,SF,14,3,39,2.0,3,3.0,2.7,76.0,1036.9,7.5,0.5,147.6,15.0,5.0,74.0,39.0,51.0,35.0,12.0,0.0,6.0,5.0,0.0,1.0,3.0,1.0,75.0,1110.0,585.0,765.0,525.0,180.0,0.0,90.0,75.0,0.0,15.0,45.0,15.0
Sam LaPorta,DET,8,4,54,4.0,4,4.0,4.0,67.9,763.8,6.7,0.4,115.6,16.0,4.0,45.0,24.0,36.0,21.0,7.0,0.0,5.0,4.0,0.0,1.0,2.0,1.0,64.0,720.0,384.0,576.0,336.0,112.0,0.0,80.0,64.0,0.0,16.0,32.0,16.0
Travis Kelce,KC,10,5,72,6.0,6,5.0,5.7,80.8,767.3,5.3,0.9,106.7,16.0,6.0,51.0,30.0,54.0,21.0,6.0,0.0,8.0,6.0,0.0,2.0,2.0,1.0,96.0,816.0,480.0,864.0,336.0,96.0,0.0,128.0,96.0,0.0,32.0,32.0,16.0
T.J. Hockenson,MIN,6,6,66,7.0,5,6.0,6.0,76.3,800.3,4.6,0.5,106.9,10.0,4.0,46.0,31.0,52.0,15.0,4.0,0.0,6.0,4.0,0.0,1.0,2.0,1.0,40.0,460.0,310.0,520.0,150.0,40.0,0.0,60.0,40.0,0.0,10.0,20.0,10.0
Mark Andrews,BAL,7,7,84,5.0,7,8.0,6.7,59.9,721.0,7.8,0.8,117.3,17.0,3.0,40.0,29.0,43.0,11.0,5.0,0.0,4.0,3.0,0.0,1.0,2.0,0.0,51.0,680.0,493.0,731.0,187.0,85.0,0.0,68.0,51.0,0.0,17.0,34.0,0.0
Evan Engram,DEN,12,8,87,11.0,9,7.0,9.0,69.1,614.2,4.0,0.9,83.4,9.0,5.0,41.0,24.0,39.0,17.0,4.0,0.0,7.0,6.0,0.0,0.0,2.0,0.0,45.0,369.0,216.0,351.0,153.0,36.0,0.0,63.0,54.0,0.0,0.0,18.0,0.0
David Njoku,CLE,9,9,100,9.0,10,10.0,9.7,76.5,731.1,4.8,0.8,100.4,11.0,6.0,46.0,23.0,47.0,23.0,6.0,0.0,9.0,6.0,1.0,1.0,2.0,0.0,66.0,506.0,253.0,517.0,253.0,66.0,0.0,99.0,66.0,11.0,11.0,22.0,0.0
Tyler Warren,IND,11,10,104,12.0,11,11.0,11.3,58.1,648.2,4.3,1.1,88.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jonnu Smith,PIT,5,11,114,16.0,8,15.0,13.0,52.2,544.5,4.0,0.9,76.7,17.0,5.0,52.0,22.0,32.0,30.0,8.0,0.0,7.0,6.0,0.0,1.0,3.0,0.0,85.0,884.0,374.0,544.0,510.0,136.0,0.0,119.0,102.0,0.0,17.0,51.0,0.0
Tucker Kraft,GB,5,12,119,14.0,13,12.0,13.0,55.2,652.8,4.8,0.8,92.5,17.0,3.0,42.0,15.0,22.0,27.0,12.0,1.0,4.0,3.0,0.0,1.0,2.0,1.0,51.0,714.0,255.0,374.0,459.0,204.0,17.0,68.0,51.0,0.0,17.0,34.0,17.0
Jake Ferguson,DAL,10,13,123,15.0,15,13.0,14.3,67.8,621.9,3.8,1.2,82.6,14.0,4.0,35.0,13.0,25.0,22.0,9.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0,56.0,490.0,182.0,350.0,308.0,126.0,0.0,84.0,56.0,0.0,0.0,14.0,0.0
Colston Loveland,CHI,5,14,112,21.0,14,9.0,14.7,52.8,554.0,3.8,0.8,76.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dallas Goedert,PHI,9,15,139,10.0,16,18.0,14.7,57.2,633.3,3.9,0.5,85.8,10.0,4.0,50.0,26.0,37.0,27.0,7.0,0.0,5.0,4.0,0.0,1.0,2.0,1.0,40.0,500.0,260.0,370.0,270.0,70.0,0.0,50.0,40.0,0.0,10.0,20.0,10.0
Dalton Kincaid,BUF,7,16,128,20.0,12,16.0,16.0,57.1,603.0,4.0,0.5,83.6,13.0,3.0,34.0,13.0,43.0,21.0,8.0,0.0,6.0,4.0,0.0,1.0,1.0,0.0,39.0,442.0,169.0,559.0,273.0,104.0,0.0,78.0,52.0,0.0,13.0,13.0,0.0
Kyle Pitts Sr.,ATL,5,17,137,17.0,17,14.0,16.0,47.5,599.0,3.8,0.1,82.8,17.0,3.0,35.0,19.0,37.0,16.0,7.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,51.0,595.0,323.0,629.0,272.0,119.0,0.0,68.0,51.0,0.0,17.0,17.0,0.0
Zach Ertz,WAS,12,18,155,13.0,20,19.0,17.3,58.1,539.2,5.1,0.1,84.2,17.0,4.0,38.0,27.0,39.0,11.0,4.0,0.0,5.0,4.0,0.0,1.0,2.0,0.0,68.0,646.0,459.0,663.0,187.0,68.0,0.0,85.0,68.0,0.0,17.0,34.0,0.0
Hunter Henry,NE,14,19,151,23.0,19,17.0,19.7,55.0,572.5,3.6,0.4,78.3,16.0,4.0,42.0,25.0,43.0,17.0,6.0,0.0,6.0,4.0,0.0,1.0,2.0,0.0,64.0,672.0,400.0,688.0,272.0,96.0,0.0,96.0,64.0,0.0,16.0,32.0,0.0
Isaiah Likely,BAL,7,20,169,19.0,18,23.0,20.0,41.4,495.5,4.8,0.7,77.0,16.0,3.0,30.0,14.0,29.0,16.0,5.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,48.0,480.0,224.0,464.0,256.0,80.0,0.0,64.0,48.0,0.0,16.0,16.0,0.0
Brenton Strange,JAC,8,21,168,24.0,24,20.0,22.7,55.3,548.7,3.3,0.5,73.6,17.0,2.0,24.0,13.0,20.0,11.0,6.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,34.0,408.0,221.0,340.0,187.0,102.0,0.0,51.0,51.0,0.0,0.0,17.0,0.0
Pat Freiermuth,PIT,5,22,191,22.0,21,29.0,24.0,51.2,493.5,3.5,0.9,68.7,17.0,4.0,38.0,22.0,28.0,16.0,6.0,0.0,5.0,4.0,0.0,1.0,1.0,0.0,68.0,646.0,374.0,476.0,272.0,102.0,0.0,85.0,68.0,0.0,17.0,17.0,0.0
Darren Waller,MIA,12,23,220,18.0,33,27.0,26.0,52.6,579.4,3.4,0.1,77.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taysom Hill,NO,11,24,304,8.0,38,N/A,23.0,12.3,104.7,0.7,0.3,24.8,8.0,3.0,23.0,6.0,14.0,17.0,7.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,24.0,184.0,48.0,112.0,136.0,56.0,0.0,32.0,24.0,0.0,0.0,8.0,0.0
Cade Otton,TB,9,25,174,N/A,25,21.0,23.0,52.3,532.2,4.0,0.5,76.0,14.0,4.0,43.0,21.0,34.0,22.0,10.0,0.0,6.0,5.0,1.0,1.0,2.0,1.0,56.0,602.0,294.0,476.0,308.0,140.0,0.0,84.0,70.0,14.0,14.0,28.0,14.0
Mason Taylor,NYJ,9,26,178,N/A,23,24.0,23.5,44.9,452.7,2.6,0.5,59.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Gesicki,CIN,10,27,193,N/A,22,28.0,25.0,52.8,518.2,3.6,0.4,72.6,17.0,4.0,39.0,25.0,36.0,14.0,3.0,0.0,5.0,4.0,0.0,1.0,2.0,0.0,68.0,663.0,425.0,612.0,238.0,51.0,0.0,85.0,68.0,0.0,17.0,34.0,0.0
Chig Okonkwo,TEN,10,28,192,N/A,28,22.0,25.0,53.8,537.2,2.9,0.8,69.9,17.0,3.0,28.0,14.0,25.0,15.0,7.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,51.0,476.0,238.0,425.0,255.0,119.0,0.0,68.0,51.0,0.0,0.0,17.0,0.0
Dalton Schultz,HOU,6,29,200,N/A,26,26.0,26.0,49.9,510.1,3.1,0.4,68.9,17.0,3.0,31.0,19.0,41.0,13.0,4.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,51.0,527.0,323.0,697.0,221.0,68.0,0.0,85.0,51.0,0.0,0.0,17.0,0.0
Elijah Arroyo,SEA,8,30,215,N/A,34,25.0,29.5,41.1,436.0,2.9,0.4,60.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ja'Tavion Sanders,CAR,14,31,219,N/A,29,30.0,29.5,38.5,388.6,2.1,0.1,51.1,16.0,2.0,21.0,10.0,17.0,12.0,4.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,32.0,336.0,160.0,272.0,192.0,64.0,0.0,48.0,32.0,0.0,0.0,16.0,0.0
Cole Kmet,CHI,5,32,228,N/A,30,31.0,30.5,30.0,288.6,2.3,0.4,41.7,17.0,3.0,28.0,17.0,23.0,11.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,51.0,476.0,289.0,391.0,187.0,51.0,0.0,51.0,51.0,0.0,0.0,17.0,0.0
Terrance Ferguson,LAR,8,33,234,N/A,27,35.0,31.0,23.0,235.5,1.9,0.4,34.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Juwan Johnson,NO,11,34,237,N/A,32,33.0,32.5,48.9,501.0,3.3,0.2,69.5,17.0,3.0,32.0,20.0,32.0,12.0,3.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,51.0,544.0,340.0,544.0,204.0,51.0,0.0,68.0,51.0,0.0,0.0,34.0,0.0
Theo Johnson,NYG,14,35,256,N/A,31,36.0,33.5,43.1,470.5,2.7,0.1,63.0,12.0,2.0,28.0,15.0,24.0,12.0,2.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,24.0,336.0,180.0,288.0,144.0,24.0,0.0,48.0,36.0,0.0,0.0,12.0,0.0
Tyler Conklin,LAC,12,36,267,N/A,37,32.0,34.5,36.4,352.8,2.5,0.1,49.9,16.0,3.0,28.0,12.0,22.0,16.0,5.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,48.0,448.0,192.0,352.0,256.0,80.0,0.0,80.0,48.0,0.0,16.0,16.0,0.0
Harold Fannin Jr.,CLE,9,37,280,N/A,35,38.0,36.5,23.7,234.3,1.2,0.4,30.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Noah Gray,KC,10,38,283,N/A,36,37.0,36.5,28.2,285.4,2.6,0.0,43.9,17.0,2.0,26.0,13.0,18.0,12.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,34.0,442.0,221.0,306.0,204.0,34.0,0.0,51.0,34.0,0.0,0.0,17.0,0.0
Tyler Higbee,LAR,8,39,299,N/A,42,34.0,38.0,45.3,425.2,3.7,0.1,64.4,3.0,3.0,22.0,6.0,9.0,16.0,5.0,0.0,4.0,3.0,0.0,2.0,1.0,0.0,9.0,66.0,18.0,27.0,48.0,15.0,0.0,12.0,9.0,0.0,6.0,3.0,0.0
Noah Fant,CIN,10,40,305,N/A,39,40.0,39.5,36.2,370.6,2.4,0.1,51.6,14.0,3.0,36.0,16.0,25.0,20.0,6.0,0.0,5.0,4.0,0.0,0.0,2.0,0.0,42.0,504.0,224.0,350.0,280.0,84.0,0.0,70.0,56.0,0.0,0.0,28.0,0.0
Oronde Gadsden II,II,12,41,311,N/A,40,39.0,39.5,16.5,168.9,1.4,0.0,25.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ben Sinnott,WAS,12,42,312,N/A,41,N/A,41.0,17.9,176.9,1.5,0.1,26.4,17.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
