Player,Team,(Bye),WR,Overall,CBS,Sleeper,RTSports,AVG,RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,REC PER GAME,YDS PER GAME,YBC PER GAME,AIR PER GAME,YAC PER GAME,YACON PER GAME,BRKTKL PER GAME,TGT PER GAME,CATCHABLE PER GAME,DROP PER GAME,RZ TGT PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,TOTAL_REC,TOTAL_YDS,TOTAL_YBC,TOTAL_AIR,TOTAL_YAC,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TGT,TOTAL_CATCHABLE,TOTAL_DROP,TOTAL_RZ_TGT,TOTAL_10YDS,TOTAL_20YDS
Ja'Marr Chase,CIN,10,1,1,1.0,1.0,1.0,1.0,120.7,1577.4,12.2,1.6,12.7,0.0,0.6,231.2,17.0,7.0,100.0,54.0,90.0,46.0,17.0,1.0,10.0,8.0,1.0,2.0,4.0,1.0,119.0,1700.0,918.0,1530.0,782.0,289.0,17.0,170.0,136.0,17.0,34.0,68.0,17.0
Justin Jefferson,MIN,6,2,5,2.0,2.0,3.0,2.3,106.4,1480.9,9.8,0.5,2.2,0.0,0.6,205.6,17.0,6.0,90.0,62.0,98.0,29.0,7.0,0.0,9.0,6.0,0.0,1.0,3.0,2.0,102.0,1530.0,1054.0,1666.0,493.0,119.0,0.0,153.0,102.0,0.0,17.0,51.0,34.0
CeeDee Lamb,DAL,10,3,6,3.0,3.0,2.0,2.7,111.5,1393.7,8.0,9.2,59.4,0.3,1.0,193.2,15.0,7.0,80.0,44.0,77.0,36.0,17.0,1.0,10.0,7.0,0.0,1.0,3.0,1.0,105.0,1200.0,660.0,1155.0,540.0,255.0,15.0,150.0,105.0,0.0,15.0,45.0,15.0
Malik Nabers,NYG,14,4,8,5.0,6.0,4.0,5.0,106.8,1339.9,8.2,2.6,12.2,0.0,0.6,183.5,15.0,7.0,80.0,49.0,103.0,31.0,14.0,1.0,11.0,8.0,1.0,1.0,3.0,1.0,105.0,1200.0,735.0,1545.0,465.0,210.0,15.0,165.0,120.0,15.0,15.0,45.0,15.0
Puka Nacua,LAR,8,5,7,8.0,4.0,5.0,5.7,104.9,1363.9,7.0,10.7,61.4,0.6,0.6,186.7,11.0,7.0,90.0,43.0,76.0,47.0,16.0,1.0,10.0,7.0,0.0,1.0,4.0,1.0,77.0,990.0,473.0,836.0,517.0,176.0,11.0,110.0,77.0,0.0,11.0,44.0,11.0
Amon-Ra St. Brown,DET,8,6,9,6.0,5.0,6.0,5.7,110.4,1267.5,8.9,1.9,12.6,0.1,0.9,179.6,17.0,7.0,74.0,50.0,65.0,24.0,8.0,0.0,8.0,7.0,0.0,2.0,3.0,1.0,119.0,1258.0,850.0,1105.0,408.0,136.0,0.0,136.0,119.0,0.0,34.0,51.0,17.0
Nico Collins,HOU,6,7,13,4.0,7.0,8.0,6.3,92.0,1313.4,8.8,0.0,1.6,0.0,0.5,183.5,12.0,6.0,84.0,53.0,89.0,30.0,10.0,0.0,8.0,6.0,0.0,1.0,3.0,1.0,72.0,1008.0,636.0,1068.0,360.0,120.0,0.0,96.0,72.0,0.0,12.0,36.0,12.0
Brian Thomas Jr.,JAC,8,8,14,7.0,8.0,7.0,7.3,91.8,1292.7,8.6,3.8,25.1,0.0,0.6,182.1,17.0,5.0,75.0,42.0,89.0,33.0,11.0,0.0,8.0,6.0,0.0,1.0,2.0,1.0,85.0,1275.0,714.0,1513.0,561.0,187.0,0.0,136.0,102.0,0.0,17.0,34.0,17.0
Drake London,ATL,5,9,19,10.0,9.0,9.0,9.3,95.6,1218.6,8.2,0.3,2.0,0.0,0.6,169.9,17.0,6.0,75.0,56.0,103.0,19.0,9.0,0.0,9.0,6.0,0.0,1.0,4.0,1.0,102.0,1275.0,952.0,1751.0,323.0,153.0,0.0,153.0,102.0,0.0,17.0,68.0,17.0
A.J. Brown,PHI,9,10,20,9.0,10.0,10.0,9.7,84.8,1244.5,8.4,0.0,0.0,0.0,0.9,172.8,13.0,5.0,83.0,56.0,91.0,27.0,11.0,1.0,7.0,5.0,0.0,1.0,4.0,1.0,65.0,1079.0,728.0,1183.0,351.0,143.0,13.0,91.0,65.0,0.0,13.0,52.0,13.0
Ladd McConkey,LAC,12,11,25,14.0,11.0,12.0,12.3,90.5,1210.8,7.4,0.0,1.4,0.0,0.7,164.0,16.0,5.0,72.0,47.0,69.0,24.0,7.0,1.0,7.0,5.0,0.0,1.0,3.0,1.0,80.0,1152.0,752.0,1104.0,384.0,112.0,16.0,112.0,80.0,0.0,16.0,48.0,16.0
Tyreek Hill,MIA,12,12,28,15.0,13.0,11.0,13.0,94.0,1182.1,7.7,7.2,40.3,0.1,0.6,168.2,17.0,5.0,56.0,39.0,82.0,17.0,4.0,0.0,7.0,5.0,0.0,1.0,3.0,1.0,85.0,952.0,663.0,1394.0,289.0,68.0,0.0,119.0,85.0,0.0,17.0,51.0,17.0
Tee Higgins,CIN,10,13,32,11.0,14.0,14.0,13.0,86.6,1093.8,8.9,0.0,0.0,0.0,0.9,161.1,12.0,6.0,76.0,57.0,89.0,19.0,10.0,1.0,9.0,6.0,0.0,2.0,3.0,1.0,72.0,912.0,684.0,1068.0,228.0,120.0,12.0,108.0,72.0,0.0,24.0,36.0,12.0
Jaxon Smith-Njigba,SEA,8,14,30,19.0,12.0,13.0,14.7,94.7,1120.6,6.6,2.6,20.5,0.0,0.6,152.8,17.0,6.0,66.0,38.0,70.0,28.0,8.0,0.0,8.0,6.0,0.0,1.0,3.0,1.0,102.0,1122.0,646.0,1190.0,476.0,136.0,0.0,136.0,102.0,0.0,17.0,51.0,17.0
Davante Adams,LAR,8,15,42,12.0,20.0,16.0,16.0,85.4,1101.4,8.3,0.3,0.0,0.0,0.5,159.2,14.0,6.0,76.0,42.0,83.0,34.0,13.0,1.0,10.0,7.0,0.0,2.0,3.0,1.0,84.0,1064.0,588.0,1162.0,476.0,182.0,14.0,140.0,98.0,0.0,28.0,42.0,14.0
Mike Evans,TB,9,16,44,13.0,18.0,20.0,17.0,78.8,1059.5,9.9,0.0,0.0,0.0,0.5,164.1,14.0,5.0,72.0,56.0,91.0,16.0,8.0,0.0,8.0,6.0,0.0,1.0,3.0,1.0,70.0,1008.0,784.0,1274.0,224.0,112.0,0.0,112.0,84.0,0.0,14.0,42.0,14.0
Garrett Wilson,NYJ,9,17,33,21.0,15.0,15.0,17.0,91.7,1095.9,6.0,1.9,13.5,0.0,1.3,144.6,17.0,6.0,65.0,39.0,82.0,26.0,9.0,0.0,9.0,6.0,0.0,1.0,3.0,1.0,102.0,1105.0,663.0,1394.0,442.0,153.0,0.0,153.0,102.0,0.0,17.0,51.0,17.0
Terry McLaurin,WAS,12,18,41,16.0,16.0,19.0,17.0,83.6,1115.0,8.2,1.1,4.8,0.0,0.9,159.6,17.0,5.0,64.0,47.0,92.0,17.0,6.0,0.0,7.0,5.0,0.0,1.0,2.0,1.0,85.0,1088.0,799.0,1564.0,289.0,102.0,0.0,119.0,85.0,0.0,17.0,34.0,17.0
Marvin Harrison Jr.,ARI,8,19,38,17.0,17.0,17.0,17.0,79.6,1098.7,7.7,0.0,3.2,0.0,1.0,154.5,17.0,4.0,52.0,43.0,91.0,9.0,3.0,0.0,7.0,4.0,0.0,1.0,2.0,1.0,68.0,884.0,731.0,1547.0,153.0,51.0,0.0,119.0,68.0,0.0,17.0,34.0,17.0
DJ Moore,DJ,5,20,46,22.0,21.0,18.0,20.3,86.7,1007.3,6.3,9.5,54.0,0.1,0.9,142.7,17.0,6.0,57.0,22.0,62.0,35.0,8.0,0.0,8.0,6.0,0.0,1.0,2.0,1.0,102.0,969.0,374.0,1054.0,595.0,136.0,0.0,136.0,102.0,0.0,17.0,34.0,17.0
DK Metcalf,DK,5,21,49,18.0,22.0,22.0,20.7,77.8,1137.6,7.3,0.0,1.2,0.0,1.3,154.9,15.0,4.0,66.0,49.0,94.0,18.0,6.0,0.0,7.0,5.0,0.0,0.0,3.0,1.0,60.0,990.0,735.0,1410.0,270.0,90.0,0.0,105.0,75.0,0.0,0.0,45.0,15.0
Courtland Sutton,DEN,12,22,50,23.0,23.0,21.0,22.3,76.7,1016.2,7.4,0.0,0.2,0.0,0.9,144.3,17.0,5.0,64.0,53.0,106.0,11.0,2.0,0.0,8.0,5.0,1.0,1.0,3.0,1.0,85.0,1088.0,901.0,1802.0,187.0,34.0,0.0,136.0,85.0,17.0,17.0,51.0,17.0
Xavier Worthy,KC,10,23,60,20.0,26.0,27.0,24.3,70.6,872.4,7.1,15.7,84.6,1.5,0.5,146.4,17.0,3.0,38.0,14.0,53.0,24.0,5.0,0.0,6.0,4.0,0.0,1.0,2.0,0.0,51.0,646.0,238.0,901.0,408.0,85.0,0.0,102.0,68.0,0.0,17.0,34.0,0.0
DeVonta Smith,PHI,9,24,52,24.0,25.0,24.0,24.3,81.2,977.5,6.8,0.3,1.2,0.0,0.5,137.7,13.0,5.0,64.0,41.0,63.0,23.0,4.0,0.0,7.0,5.0,0.0,1.0,2.0,1.0,65.0,832.0,533.0,819.0,299.0,52.0,0.0,91.0,65.0,0.0,13.0,26.0,13.0
Rashee Rice,KC,10,25,47,33.0,19.0,25.0,25.7,72.9,854.2,6.1,1.1,4.5,0.0,0.6,121.4,4.0,6.0,72.0,26.0,39.0,47.0,16.0,1.0,7.0,6.0,0.0,1.0,3.0,1.0,24.0,288.0,104.0,156.0,188.0,64.0,4.0,28.0,24.0,0.0,4.0,12.0,4.0
Zay Flowers,BAL,7,26,62,25.0,24.0,31.0,26.7,74.9,1028.6,6.3,8.2,48.4,0.1,0.5,145.2,17.0,4.0,62.0,35.0,68.0,27.0,8.0,0.0,7.0,5.0,0.0,0.0,3.0,1.0,68.0,1054.0,595.0,1156.0,459.0,136.0,0.0,119.0,85.0,0.0,0.0,51.0,17.0
Tetairoa McMillan,CAR,14,27,55,31.0,28.0,23.0,27.3,71.9,927.4,5.5,0.5,7.4,0.0,1.2,123.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jameson Williams,DET,8,28,61,27.0,27.0,28.0,27.3,60.4,958.3,6.0,7.4,63.4,0.8,0.5,141.7,15.0,4.0,67.0,34.0,68.0,33.0,3.0,0.0,6.0,4.0,0.0,1.0,2.0,1.0,60.0,1005.0,510.0,1020.0,495.0,45.0,0.0,90.0,60.0,0.0,15.0,30.0,15.0
George Pickens,DAL,10,29,65,26.0,29.0,30.0,28.3,68.4,1001.3,6.4,1.0,6.2,0.0,0.9,137.3,14.0,4.0,64.0,49.0,98.0,15.0,7.0,0.0,7.0,5.0,0.0,1.0,2.0,1.0,56.0,896.0,686.0,1372.0,210.0,98.0,0.0,98.0,70.0,0.0,14.0,28.0,14.0
Calvin Ridley,TEN,10,30,67,28.0,36.0,26.0,30.0,70.1,1026.9,6.0,5.6,33.4,0.3,0.9,141.9,17.0,4.0,60.0,46.0,108.0,14.0,5.0,0.0,7.0,4.0,0.0,0.0,2.0,1.0,68.0,1020.0,782.0,1836.0,238.0,85.0,0.0,119.0,68.0,0.0,0.0,34.0,17.0
Travis Hunter,JAC,8,31,70,29.0,30.0,32.0,30.3,68.4,887.2,5.2,3.8,21.8,0.1,0.8,121.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jerry Jeudy,CLE,9,32,71,34.0,34.0,29.0,32.3,80.8,1081.2,4.1,0.3,4.8,0.0,0.6,131.8,17.0,5.0,72.0,50.0,95.0,23.0,3.0,0.0,9.0,6.0,1.0,1.0,3.0,1.0,85.0,1224.0,850.0,1615.0,391.0,51.0,0.0,153.0,102.0,17.0,17.0,51.0,17.0
Jaylen Waddle,MIA,12,33,74,37.0,31.0,34.0,34.0,75.5,964.8,4.9,2.5,15.9,0.1,0.5,126.6,16.0,4.0,47.0,32.0,52.0,15.0,3.0,0.0,5.0,4.0,1.0,1.0,2.0,1.0,64.0,752.0,512.0,832.0,240.0,48.0,0.0,80.0,64.0,16.0,16.0,32.0,16.0
Chris Godwin,TB,9,34,76,32.0,35.0,37.0,34.7,75.0,862.3,5.6,1.2,6.9,0.0,0.6,119.6,7.0,7.0,82.0,32.0,51.0,50.0,18.0,1.0,9.0,7.0,0.0,1.0,3.0,1.0,49.0,574.0,224.0,357.0,350.0,126.0,7.0,63.0,49.0,0.0,7.0,21.0,7.0
Deebo Samuel Sr.,WAS,12,35,83,30.0,40.0,35.0,35.0,65.1,834.2,5.1,30.1,127.9,1.2,1.0,132.2,15.0,3.0,45.0,17.0,36.0,28.0,14.0,1.0,5.0,4.0,0.0,1.0,2.0,1.0,45.0,675.0,255.0,540.0,420.0,210.0,15.0,75.0,60.0,0.0,15.0,30.0,15.0
Chris Olave,NO,11,36,75,41.0,32.0,33.0,35.3,76.4,946.2,4.4,0.3,2.8,0.0,1.3,118.6,8.0,4.0,50.0,35.0,57.0,15.0,4.0,0.0,6.0,4.0,0.0,1.0,2.0,1.0,32.0,400.0,280.0,456.0,120.0,32.0,0.0,48.0,32.0,0.0,8.0,16.0,8.0
Jordan Addison,MIN,6,37,78,36.0,33.0,41.0,36.7,60.9,799.9,6.0,1.2,11.2,0.3,0.4,117.7,15.0,4.0,58.0,44.0,86.0,14.0,5.0,0.0,7.0,4.0,0.0,1.0,2.0,1.0,60.0,870.0,660.0,1290.0,210.0,75.0,0.0,105.0,60.0,0.0,15.0,30.0,15.0
Rome Odunze,CHI,5,38,80,38.0,37.0,38.0,37.7,65.6,880.0,5.4,1.3,8.0,0.0,0.9,119.2,17.0,3.0,43.0,28.0,82.0,15.0,4.0,0.0,6.0,4.0,0.0,1.0,2.0,0.0,51.0,731.0,476.0,1394.0,255.0,68.0,0.0,102.0,68.0,0.0,17.0,34.0,0.0
Jakobi Meyers,LV,8,39,90,35.0,39.0,43.0,39.0,82.4,966.4,5.3,1.2,8.9,0.0,0.5,128.5,15.0,6.0,68.0,49.0,82.0,20.0,6.0,0.0,9.0,6.0,0.0,1.0,3.0,1.0,90.0,1020.0,735.0,1230.0,300.0,90.0,0.0,135.0,90.0,0.0,15.0,45.0,15.0
Stefon Diggs,NE,14,40,85,43.0,43.0,36.0,40.7,77.4,850.3,5.1,1.3,6.9,0.2,0.5,116.8,8.0,6.0,62.0,39.0,70.0,23.0,7.0,0.0,8.0,6.0,0.0,1.0,3.0,1.0,48.0,496.0,312.0,560.0,184.0,56.0,0.0,64.0,48.0,0.0,8.0,24.0,8.0
Cooper Kupp,SEA,8,41,86,44.0,41.0,39.0,41.3,73.3,818.3,5.4,1.3,8.9,0.0,0.6,113.9,12.0,6.0,59.0,37.0,65.0,22.0,5.0,0.0,8.0,6.0,0.0,1.0,2.0,1.0,72.0,708.0,444.0,780.0,264.0,60.0,0.0,96.0,72.0,0.0,12.0,24.0,12.0
Matthew Golden,GB,5,42,92,39.0,46.0,40.0,41.7,60.9,847.2,6.0,0.5,9.4,0.0,0.8,120.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jayden Reed,GB,5,43,102,40.0,44.0,47.0,43.7,58.2,779.7,5.5,11.8,93.7,0.7,0.9,123.1,17.0,3.0,50.0,28.0,40.0,22.0,5.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,51.0,850.0,476.0,680.0,374.0,85.0,0.0,68.0,68.0,17.0,17.0,17.0,17.0
Ricky Pearsall,SF,14,44,94,45.0,45.0,44.0,44.7,61.5,835.1,5.2,7.0,50.0,0.3,0.6,120.3,11.0,3.0,36.0,26.0,48.0,10.0,2.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,33.0,396.0,286.0,528.0,110.0,22.0,0.0,44.0,33.0,0.0,11.0,11.0,0.0
Brandon Aiyuk,SF,14,45,115,42.0,42.0,52.0,45.3,41.9,633.8,3.3,0.0,1.0,0.0,0.4,82.1,7.0,4.0,53.0,38.0,82.0,15.0,8.0,0.0,7.0,4.0,1.0,1.0,2.0,1.0,28.0,371.0,266.0,574.0,105.0,56.0,0.0,49.0,28.0,7.0,7.0,14.0,7.0
Jauan Jennings,SF,14,46,95,47.0,47.0,42.0,45.3,71.1,939.0,5.5,3.6,15.7,0.1,0.6,127.8,15.0,5.0,65.0,49.0,75.0,16.0,7.0,0.0,8.0,5.0,0.0,1.0,3.0,1.0,75.0,975.0,735.0,1125.0,240.0,105.0,0.0,120.0,75.0,0.0,15.0,45.0,15.0
Khalil Shakir,BUF,7,47,93,53.0,38.0,46.0,45.7,71.6,812.4,4.9,0.3,3.0,0.0,0.6,109.9,15.0,5.0,55.0,15.0,37.0,40.0,13.0,0.0,7.0,5.0,0.0,1.0,2.0,1.0,75.0,825.0,225.0,555.0,600.0,195.0,0.0,105.0,75.0,0.0,15.0,30.0,15.0
Emeka Egbuka,TB,9,48,109,48.0,51.0,45.0,48.0,49.1,635.1,4.4,2.2,11.1,0.0,1.1,89.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Darnell Mooney,ATL,5,49,121,49.0,49.0,53.0,50.3,59.2,828.5,4.6,0.0,1.2,0.0,0.5,109.5,16.0,4.0,62.0,45.0,83.0,17.0,5.0,0.0,7.0,4.0,0.0,0.0,3.0,1.0,64.0,992.0,720.0,1328.0,272.0,80.0,0.0,112.0,64.0,0.0,0.0,48.0,16.0
Josh Downs,IND,11,50,110,55.0,48.0,49.0,50.7,62.9,737.4,4.3,0.3,7.0,0.0,0.5,99.4,14.0,5.0,57.0,29.0,55.0,28.0,7.0,0.0,8.0,6.0,0.0,1.0,3.0,1.0,70.0,798.0,406.0,770.0,392.0,98.0,0.0,112.0,84.0,0.0,14.0,42.0,14.0
Michael Pittman Jr.,IND,11,51,117,54.0,50.0,48.0,50.7,71.9,852.4,4.0,0.0,1.8,0.0,0.9,107.3,16.0,4.0,51.0,34.0,79.0,16.0,7.0,0.0,7.0,4.0,0.0,1.0,2.0,1.0,64.0,816.0,544.0,1264.0,256.0,112.0,0.0,112.0,64.0,0.0,16.0,32.0,16.0
Keon Coleman,BUF,7,52,122,50.0,52.0,50.0,50.7,52.4,822.4,6.1,0.3,3.8,0.0,0.5,118.3,13.0,2.0,43.0,26.0,67.0,17.0,10.0,0.0,4.0,3.0,0.0,1.0,2.0,1.0,26.0,559.0,338.0,871.0,221.0,130.0,0.0,52.0,39.0,0.0,13.0,26.0,13.0
Jayden Higgins,HOU,6,53,124,57.0,53.0,51.0,53.7,47.2,631.9,3.7,0.7,4.0,0.0,0.5,85.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rashid Shaheed,NO,11,54,143,58.0,55.0,58.0,57.0,56.4,846.1,4.4,7.3,44.5,0.1,1.3,113.8,6.0,3.0,58.0,41.0,120.0,18.0,1.0,0.0,7.0,4.0,0.0,0.0,2.0,1.0,18.0,348.0,246.0,720.0,108.0,6.0,0.0,42.0,24.0,0.0,0.0,12.0,6.0
