Player,Team,(Bye),WR,Overall,CBS,Sleeper,RTSports,AVG,RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,REC PER GAME,YDS PER GAME,YBC PER GAME,AIR PER GAME,YAC PER GAME,YACON PER GAME,BRKTKL PER GAME,TGT PER GAME,CATCHABLE PER GAME,DROP PER GAME,RZ TGT PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,TOTAL_REC,TOTAL_YDS,TOTAL_YBC,TOTAL_AIR,TOTAL_YAC,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TGT,TOTAL_CATCHABLE,TOTAL_DROP,TOTAL_RZ_TGT,TOTAL_10YDS,TOTAL_20YDS
Tre' Harris,LAC,12,55,140,61.0,54.0,57.0,57.3,40.8,544.9,3.4,0.7,3.8,0.0,0.7,74.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Christian Kirk,HOU,6,56,146,56.0,58.0,60.0,58.0,50.6,649.5,3.5,0.7,4.0,0.0,0.8,84.7,8.0,3.0,47.0,33.0,81.0,14.0,5.0,0.0,6.0,4.0,0.0,1.0,2.0,1.0,24.0,376.0,264.0,648.0,112.0,40.0,0.0,48.0,32.0,0.0,8.0,16.0,8.0
Rashod Bateman,BAL,7,57,165,46.0,62.0,67.0,58.3,45.5,691.5,5.5,0.0,0.6,0.0,0.1,102.3,17.0,3.0,44.0,34.0,58.0,11.0,2.0,0.0,4.0,3.0,0.0,0.0,2.0,1.0,51.0,748.0,578.0,986.0,187.0,34.0,0.0,68.0,51.0,0.0,0.0,34.0,17.0
Keenan Allen,LAC,12,58,161,52.0,70.0,55.0,59.0,55.6,641.3,4.8,0.3,2.0,0.0,0.6,91.9,15.0,5.0,50.0,34.0,74.0,16.0,3.0,0.0,8.0,5.0,0.0,1.0,2.0,1.0,75.0,750.0,510.0,1110.0,240.0,45.0,0.0,120.0,75.0,0.0,15.0,30.0,15.0
Quentin Johnston,LAC,12,59,194,51.0,65.0,73.0,63.0,34.9,458.8,4.1,1.7,7.2,0.0,0.4,70.8,15.0,4.0,47.0,27.0,66.0,20.0,6.0,1.0,6.0,4.0,0.0,1.0,2.0,1.0,60.0,705.0,405.0,990.0,300.0,90.0,15.0,90.0,60.0,0.0,15.0,30.0,15.0
Adam Thielen,CAR,14,60,176,62.0,64.0,71.0,65.7,61.8,657.9,4.5,0.0,1.8,0.0,0.5,91.7,10.0,5.0,62.0,46.0,68.0,15.0,4.0,0.0,6.0,5.0,0.0,1.0,2.0,1.0,50.0,620.0,460.0,680.0,150.0,40.0,0.0,60.0,50.0,0.0,10.0,20.0,10.0
Romeo Doubs,GB,5,61,186,59.0,71.0,69.0,66.3,45.2,575.2,4.3,0.0,0.5,0.0,0.5,82.3,13.0,4.0,46.0,36.0,68.0,10.0,4.0,0.0,6.0,4.0,1.0,1.0,2.0,1.0,52.0,598.0,468.0,884.0,130.0,52.0,0.0,78.0,52.0,13.0,13.0,26.0,13.0
Marvin Mims Jr.,DEN,12,62,134,N/A,57.0,54.0,55.5,51.2,696.5,5.4,11.9,49.4,0.1,0.6,106.5,17.0,2.0,30.0,2.0,24.0,28.0,5.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,34.0,510.0,34.0,408.0,476.0,85.0,0.0,51.0,34.0,0.0,0.0,17.0,0.0
Luther Burden III,III,5,63,141,N/A,56.0,56.0,56.0,47.0,569.6,3.4,3.7,27.4,0.4,1.1,79.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jack Bech,LV,8,64,152,N/A,61.0,62.0,61.5,45.9,574.4,2.9,1.0,4.3,0.0,0.8,74.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marquise Brown,KC,10,65,153,N/A,63.0,61.0,62.0,54.8,674.4,4.4,0.3,2.0,0.0,0.2,93.9,2.0,5.0,46.0,23.0,62.0,23.0,2.0,0.0,8.0,5.0,0.0,1.0,3.0,1.0,10.0,92.0,46.0,124.0,46.0,4.0,0.0,16.0,10.0,0.0,2.0,6.0,2.0
Jalen McMillan,TB,9,66,163,N/A,59.0,68.0,63.5,35.5,445.9,4.3,2.3,18.7,0.0,0.5,71.4,13.0,3.0,35.0,25.0,54.0,10.0,2.0,0.0,4.0,3.0,0.0,1.0,2.0,1.0,39.0,455.0,325.0,702.0,130.0,26.0,0.0,52.0,39.0,0.0,13.0,26.0,13.0
DeAndre Hopkins,BAL,7,67,167,N/A,69.0,59.0,64.0,32.0,416.4,3.9,0.0,0.5,0.0,0.1,64.9,16.0,4.0,38.0,31.0,53.0,7.0,2.0,0.0,5.0,4.0,0.0,1.0,2.0,0.0,64.0,608.0,496.0,848.0,112.0,32.0,0.0,80.0,64.0,0.0,16.0,32.0,0.0
Kyle Williams,NE,14,68,166,N/A,60.0,70.0,65.0,38.8,492.5,2.9,2.1,13.3,0.0,0.4,67.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cedric Tillman,CLE,9,69,171,N/A,66.0,64.0,65.0,55.6,690.9,3.9,0.7,0.8,0.0,0.9,90.5,11.0,3.0,31.0,21.0,50.0,9.0,4.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,33.0,341.0,231.0,550.0,99.0,44.0,0.0,44.0,33.0,0.0,0.0,11.0,11.0
Calvin Austin III,III,5,70,269,60.0,86.0,89.0,78.3,39.6,528.8,3.4,2.3,11.8,0.1,0.5,73.7,17.0,2.0,32.0,23.0,42.0,9.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,34.0,544.0,391.0,714.0,153.0,34.0,0.0,51.0,34.0,0.0,0.0,17.0,17.0
Xavier Legette,CAR,14,71,173,N/A,68.0,63.0,65.5,54.3,613.2,3.9,6.2,29.0,0.1,0.5,86.9,16.0,3.0,31.0,24.0,65.0,7.0,3.0,0.0,5.0,4.0,0.0,1.0,1.0,0.0,48.0,496.0,384.0,1040.0,112.0,48.0,0.0,80.0,64.0,0.0,16.0,16.0,0.0
Wan'Dale Robinson,NYG,14,72,177,N/A,67.0,66.0,66.5,69.1,622.9,3.1,2.0,15.6,0.0,0.5,81.7,17.0,5.0,41.0,20.0,40.0,21.0,8.0,1.0,8.0,6.0,0.0,1.0,1.0,0.0,85.0,697.0,340.0,680.0,357.0,136.0,17.0,136.0,102.0,0.0,17.0,17.0,0.0
DeMario Douglas,NE,14,73,184,N/A,75.0,65.0,70.0,54.6,575.4,2.8,2.1,15.7,0.0,0.2,75.7,17.0,4.0,37.0,15.0,30.0,21.0,5.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,68.0,629.0,255.0,510.0,357.0,85.0,0.0,85.0,68.0,0.0,0.0,17.0,0.0
Joshua Palmer,BUF,7,74,190,N/A,72.0,72.0,72.0,42.0,587.7,3.5,0.0,0.5,0.0,0.1,79.8,15.0,3.0,39.0,32.0,66.0,7.0,2.0,0.0,4.0,3.0,0.0,0.0,2.0,1.0,45.0,585.0,480.0,990.0,105.0,30.0,0.0,60.0,45.0,0.0,0.0,30.0,15.0
Alec Pierce,IND,11,75,203,N/A,74.0,74.0,74.0,29.3,528.9,3.3,0.0,0.0,0.0,0.1,72.6,16.0,2.0,52.0,44.0,93.0,7.0,2.0,0.0,4.0,3.0,0.0,0.0,2.0,1.0,32.0,832.0,704.0,1488.0,112.0,32.0,0.0,64.0,48.0,0.0,0.0,32.0,16.0
Pat Bryant,DEN,12,76,216,N/A,76.0,77.0,76.5,30.7,375.6,2.6,0.0,0.0,0.0,0.1,52.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jalen Royals,KC,10,77,225,N/A,78.0,79.0,78.5,15.7,188.1,1.4,0.0,2.5,0.0,0.0,27.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jaylin Noel,HOU,6,78,230,N/A,77.0,83.0,80.0,27.2,326.9,2.3,0.0,13.0,0.0,0.1,47.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Darius Slayton,NYG,14,79,245,N/A,87.0,78.0,82.5,34.1,511.3,2.4,1.4,6.1,0.0,0.2,66.1,16.0,2.0,36.0,28.0,58.0,8.0,5.0,0.0,4.0,3.0,0.0,0.0,2.0,1.0,32.0,576.0,448.0,928.0,128.0,80.0,0.0,64.0,48.0,0.0,0.0,32.0,16.0
Dyami Brown,JAC,8,80,246,N/A,85.0,80.0,82.5,39.4,502.3,2.8,0.7,6.8,0.0,0.5,66.8,15.0,2.0,21.0,6.0,19.0,15.0,5.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,30.0,315.0,90.0,285.0,225.0,75.0,0.0,45.0,30.0,0.0,0.0,15.0,0.0
Michael Wilson,ARI,8,81,238,N/A,79.0,88.0,83.5,43.8,525.0,3.9,1.9,8.9,0.1,0.5,76.4,16.0,3.0,34.0,26.0,51.0,8.0,3.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,48.0,544.0,416.0,816.0,128.0,48.0,0.0,64.0,48.0,0.0,0.0,16.0,16.0
Dont'e Thornton Jr.,LV,8,82,244,N/A,94.0,75.0,84.5,29.1,393.3,2.3,0.0,3.0,0.0,0.1,53.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jalen Coker,CAR,14,83,259,N/A,84.0,87.0,85.5,32.9,428.6,2.1,0.0,2.3,0.0,0.1,55.5,11.0,3.0,43.0,28.0,47.0,16.0,3.0,0.0,4.0,3.0,0.0,1.0,2.0,1.0,33.0,473.0,308.0,517.0,176.0,33.0,0.0,44.0,33.0,0.0,11.0,22.0,11.0
Isaac TeSlaa,DET,8,84,270,N/A,91.0,82.0,86.5,10.7,155.2,1.1,0.0,0.0,0.0,0.0,22.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tyler Lockett,TEN,10,86,257,N/A,80.0,95.0,87.5,49.6,578.7,3.5,0.0,0.0,0.0,0.1,78.5,17.0,3.0,35.0,27.0,46.0,8.0,2.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,51.0,595.0,459.0,782.0,136.0,34.0,0.0,68.0,51.0,0.0,17.0,17.0,0.0
Adonai Mitchell,IND,11,87,264,N/A,81.0,99.0,90.0,26.6,368.5,2.3,2.5,11.5,0.1,0.2,51.9,17.0,1.0,18.0,12.0,45.0,6.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,17.0,306.0,204.0,765.0,102.0,34.0,0.0,51.0,34.0,0.0,0.0,17.0,0.0
Dontayvion Wicks,GB,5,88,268,N/A,82.0,98.0,90.0,27.5,346.4,3.0,0.0,1.3,0.0,0.0,52.8,17.0,2.0,24.0,16.0,48.0,8.0,3.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0,34.0,408.0,272.0,816.0,136.0,51.0,0.0,68.0,51.0,17.0,17.0,17.0,0.0
Ray-Ray McCloud III,III,5,89,279,N/A,N/A,76.0,76.0,40.2,434.3,2.3,7.8,53.1,0.2,1.2,61.0,17.0,4.0,40.0,21.0,35.0,20.0,7.0,0.0,5.0,4.0,0.0,0.0,2.0,0.0,68.0,680.0,357.0,595.0,340.0,119.0,0.0,85.0,68.0,0.0,0.0,34.0,0.0
Elic Ayomanor,TEN,10,90,271,N/A,83.0,100.0,91.5,28.6,336.3,2.2,0.0,7.5,0.0,0.1,47.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tory Horton,SEA,8,91,285,N/A,92.0,91.0,91.5,33.5,426.7,2.1,1.0,8.7,0.0,0.7,54.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jalen Nailor,MIN,6,92,298,N/A,N/A,81.0,81.0,32.9,430.3,3.9,1.8,4.1,0.0,0.4,66.1,17.0,2.0,24.0,18.0,28.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,34.0,408.0,306.0,476.0,102.0,34.0,0.0,34.0,34.0,0.0,0.0,17.0,0.0
Troy Franklin,DEN,12,93,301,N/A,101.0,85.0,93.0,27.2,342.5,2.7,1.1,5.8,0.0,0.1,50.9,16.0,2.0,16.0,6.0,43.0,10.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,32.0,256.0,96.0,688.0,160.0,32.0,0.0,48.0,32.0,0.0,0.0,16.0,0.0
Luke McCaffrey,WAS,12,94,303,N/A,N/A,84.0,84.0,19.4,203.1,1.5,0.0,1.0,0.0,0.1,29.0,17.0,1.0,10.0,4.0,10.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,170.0,68.0,170.0,102.0,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0
Kayshon Boutte,NE,14,95,300,N/A,99.0,90.0,94.5,22.5,301.7,2.0,0.0,0.0,0.0,0.0,42.0,15.0,3.0,39.0,29.0,66.0,10.0,3.0,0.0,5.0,3.0,0.0,0.0,1.0,1.0,45.0,585.0,435.0,990.0,150.0,45.0,0.0,75.0,45.0,0.0,0.0,15.0,15.0
Roman Wilson,PIT,5,96,294,N/A,88.0,102.0,95.0,21.8,276.6,1.9,0.0,0.0,0.0,0.1,39.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andrei Iosivas,CIN,10,97,308,N/A,96.0,94.0,95.0,30.4,363.3,3.4,0.0,0.0,0.0,0.1,56.6,17.0,2.0,28.0,24.0,40.0,4.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,34.0,476.0,408.0,680.0,68.0,17.0,0.0,68.0,34.0,0.0,17.0,17.0,0.0
Tre Tucker,LV,8,98,307,N/A,N/A,86.0,86.0,30.3,388.5,2.3,5.6,31.5,0.3,0.1,57.6,17.0,3.0,32.0,19.0,60.0,12.0,3.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,51.0,544.0,323.0,1020.0,204.0,51.0,0.0,85.0,51.0,0.0,0.0,17.0,0.0
Xavier Restrepo,TEN,10,99,295,N/A,89.0,N/A,89.0,10.0,105.0,1.0,0.0,2.0,0.0,0.0,16.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Diontae Johnson,CLE,9,100,296,N/A,90.0,106.0,98.0,43.0,526.9,2.7,0.0,2.3,0.0,0.7,68.0,11.0,3.0,34.0,26.0,66.0,8.0,2.0,0.0,6.0,3.0,0.0,1.0,2.0,0.0,33.0,374.0,286.0,726.0,88.0,22.0,0.0,66.0,33.0,0.0,11.0,22.0,0.0
Jermaine Burton,CIN,10,101,320,N/A,N/A,92.0,92.0,18.1,239.7,2.0,0.0,2.0,0.0,0.1,35.7,14.0,0.0,8.0,6.0,21.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,84.0,294.0,28.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Devaughn Vele,DEN,12,102,325,N/A,N/A,93.0,93.0,24.9,275.6,2.1,0.0,1.7,0.0,0.1,40.1,13.0,3.0,37.0,27.0,35.0,10.0,3.0,0.0,4.0,3.0,0.0,1.0,1.0,1.0,39.0,481.0,351.0,455.0,130.0,39.0,0.0,52.0,39.0,0.0,13.0,13.0,13.0
Jalen Tolbert,DAL,10,103,326,N/A,102.0,96.0,99.0,34.3,400.6,3.5,0.0,0.0,0.0,0.1,60.9,17.0,3.0,36.0,26.0,53.0,10.0,2.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,51.0,612.0,442.0,901.0,170.0,34.0,0.0,85.0,51.0,0.0,17.0,17.0,0.0
Brandin Cooks,NO,11,104,302,N/A,93.0,107.0,100.0,40.1,459.8,3.1,1.7,3.8,0.0,0.1,65.0,10.0,3.0,26.0,20.0,63.0,6.0,1.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,30.0,260.0,200.0,630.0,60.0,10.0,0.0,50.0,30.0,0.0,10.0,10.0,0.0
Jordan Whittington,LAR,8,105,310,N/A,95.0,N/A,95.0,34.1,397.6,2.4,1.1,13.9,0.0,0.1,55.6,15.0,1.0,20.0,6.0,7.0,14.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,15.0,300.0,90.0,105.0,210.0,30.0,0.0,30.0,15.0,0.0,0.0,15.0,0.0
Tutu Atwell,LAR,8,106,316,N/A,98.0,103.0,100.5,39.1,497.9,2.2,4.3,20.2,0.1,0.1,65.3,17.0,2.0,33.0,26.0,41.0,7.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,34.0,561.0,442.0,697.0,119.0,17.0,0.0,68.0,51.0,0.0,0.0,17.0,17.0
Christian Watson,GB,5,107,314,N/A,97.0,N/A,97.0,19.9,366.6,2.3,4.3,17.0,0.0,0.4,51.6,15.0,2.0,41.0,31.0,63.0,10.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,1.0,30.0,615.0,465.0,945.0,150.0,15.0,0.0,60.0,30.0,0.0,15.0,15.0,15.0
KeAndre Lambert-Smith,LAC,12,108,331,N/A,N/A,97.0,97.0,5.9,77.7,0.6,0.0,3.0,0.0,0.0,11.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marquez Valdes-Scantling,SEA,8,109,324,N/A,100.0,N/A,100.0,24.2,402.7,2.3,2.6,10.0,0.1,0.0,55.7,13.0,1.0,32.0,21.0,59.0,11.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,13.0,416.0,273.0,767.0,143.0,26.0,0.0,39.0,26.0,0.0,0.0,13.0,13.0
Curtis Samuel,BUF,7,110,330,N/A,103.0,N/A,103.0,27.0,271.5,2.5,6.6,29.3,0.1,0.1,45.4,14.0,2.0,18.0,7.0,15.0,11.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,28.0,252.0,98.0,210.0,154.0,28.0,0.0,42.0,28.0,0.0,0.0,14.0,0.0
Noah Brown,WAS,12,111,338,N/A,N/A,104.0,104.0,31.8,406.4,1.9,0.0,0.0,0.0,0.1,51.8,11.0,3.0,41.0,34.0,60.0,8.0,3.0,0.0,5.0,4.0,0.0,0.0,2.0,0.0,33.0,451.0,374.0,660.0,88.0,33.0,0.0,55.0,44.0,0.0,0.0,22.0,0.0
Elijah Moore,BUF,7,112,340,N/A,N/A,105.0,105.0,14.5,159.6,1.2,0.0,1.3,0.0,0.0,23.4,17.0,4.0,32.0,24.0,59.0,8.0,2.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0,68.0,544.0,408.0,1003.0,136.0,34.0,0.0,102.0,68.0,0.0,0.0,17.0,0.0
Demarcus Robinson,SF,14,113,344,N/A,N/A,108.0,108.0,15.8,251.1,2.0,0.0,1.0,0.0,0.1,37.1,17.0,2.0,30.0,26.0,54.0,4.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,1.0,34.0,510.0,442.0,918.0,68.0,17.0,0.0,68.0,34.0,0.0,17.0,17.0,17.0
Malik Washington,MIA,12,114,345,N/A,N/A,109.0,109.0,27.5,288.9,1.8,2.0,13.8,0.1,0.6,40.4,14.0,2.0,16.0,7.0,15.0,9.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,28.0,224.0,98.0,210.0,126.0,28.0,0.0,42.0,28.0,0.0,0.0,14.0,0.0
Jaylin Lane,WAS,12,115,346,N/A,N/A,110.0,110.0,10.4,120.0,0.8,2.2,13.5,0.1,0.1,18.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
