Player,RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,REC PER GAME,YDS PER GAME,YBC PER GAME,AIR PER GAME,YAC PER GAME,YACON PER GAME,BRKTKL PER GAME,TGT PER GAME,CATCHABLE PER GAME,DROP PER GAME,RZ TGT PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,TOTAL_REC,TOTAL_YDS,TOTAL_YBC,TOTAL_AIR,TOTAL_YAC,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TGT,TOTAL_CATCHABLE,TOTAL_DROP,TOTAL_RZ_TGT,TOTAL_10YDS,TOTAL_20YDS
Drew Sample,10.4,82.5,0.8,0.0,12.8,17.0,1.0,6.0,2.0,2.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,102.0,34.0,34.0,85.0,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0
Pharaoh Brown,10.0,93.4,0.5,0.0,12.1,10.0,1.0,7.0,4.0,5.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,70.0,40.0,50.0,30.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
Teagan Quitoriano,5.5,89.5,0.5,0.0,12.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lawrence Cager,5.5,57.0,1.0,0.0,11.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gavin Bartholomew,7.0,75.0,0.6,0.0,11.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brevyn Spann-Ford,7.3,69.6,0.6,0.0,10.7,17.0,1.0,5.0,2.0,5.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,85.0,34.0,85.0,51.0,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0
Lucas Krull,8.3,79.8,0.4,0.0,10.3,13.0,1.0,12.0,7.0,9.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,13.0,156.0,91.0,117.0,65.0,26.0,0.0,26.0,13.0,0.0,0.0,13.0,0.0
Devin Culp,6.1,65.6,0.6,0.0,10.1,5.0,1.0,18.0,11.0,15.0,6.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,90.0,55.0,75.0,30.0,20.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0
Charlie Kolar,5.7,71.7,0.4,0.0,9.9,13.0,1.0,10.0,4.0,5.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,130.0,52.0,65.0,78.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0
Tanner McLachlan,7.0,68.5,0.5,0.0,9.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hunter Long,8.4,76.2,0.4,0.0,9.8,11.0,1.0,5.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,55.0,33.0,33.0,33.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0
Giovanni Ricci,8.0,96.0,0.0,0.0,9.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jaheim Bell,6.4,64.1,0.5,0.0,9.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brenden Bates,6.5,61.4,0.5,0.0,9.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Bates,5.9,54.9,0.6,0.0,9.3,17.0,0.0,5.0,2.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,85.0,34.0,68.0,51.0,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0
Tanner Conner,7.0,58.3,0.6,0.0,9.3,7.0,0.0,2.0,2.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,49.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
Kenny Yeboah,6.0,61.5,0.5,0.0,9.2,7.0,1.0,7.0,2.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,49.0,14.0,35.0,35.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0
Luke Farrell,6.6,64.6,0.4,0.0,9.1,12.0,1.0,6.0,3.0,7.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,72.0,36.0,84.0,36.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0
Eric Saubert,6.9,60.9,0.5,0.0,8.8,13.0,1.0,7.0,5.0,7.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,91.0,65.0,91.0,39.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0
Luke Lachey,5.5,56.5,0.5,0.0,8.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Travis Vokolek,5.5,55.5,0.5,0.0,8.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Quintin Morris,6.8,63.8,0.3,0.0,8.5,10.0,1.0,4.0,1.0,7.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,40.0,10.0,70.0,20.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
Brayden Willis,4.5,54.5,0.5,0.0,8.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ian Thomas,6.6,58.9,0.4,0.0,8.3,3.0,1.0,2.0,0.0,8.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,24.0,6.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0
Stone Smartt,5.5,66.7,0.4,0.3,8.2,9.0,2.0,23.0,16.0,21.0,7.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,18.0,207.0,144.0,189.0,63.0,9.0,0.0,18.0,18.0,0.0,0.0,9.0,0.0
Moliki Matavao,5.0,51.0,0.5,0.0,8.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cam Grandy,6.2,54.0,0.4,0.0,8.1,8.0,1.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,32.0,16.0,16.0,16.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0
Ben Sims,5.0,50.5,0.5,0.0,8.1,17.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,34.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Fidone II,5.5,50.5,0.5,0.0,8.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jackson Hawes,5.3,56.8,0.4,0.0,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jared Wiley,5.4,53.4,0.4,0.0,7.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ross Dwelley,4.0,56.7,0.3,0.0,7.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Greg Dulcich,5.0,52.5,0.3,0.0,7.3,9.0,1.0,3.0,1.0,8.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,27.0,9.0,72.0,18.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0
Durham Smythe,5.4,45.6,0.3,0.0,6.6,14.0,1.0,4.0,3.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,56.0,42.0,98.0,14.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0
Brevin Jordan,3.7,41.3,0.2,0.0,5.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mo Alie-Cox,3.1,37.0,0.3,0.0,5.2,17.0,1.0,9.0,6.0,12.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,153.0,102.0,204.0,51.0,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0
Tre' McKitty,4.1,40.1,0.2,0.0,5.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Davis Allen,4.1,38.3,0.2,0.0,5.1,14.0,0.0,3.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,14.0,56.0,28.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0
Tip Reiman,4.4,43.0,0.1,0.0,5.0,17.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,17.0,34.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irv Smith Jr.,4.0,33.7,0.3,0.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Will Mallory,2.9,31.3,0.3,0.0,4.9,10.0,0.0,3.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,70.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Dominique Dafney,3.6,34.6,0.2,0.0,4.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kylen Granson,3.1,33.3,0.2,0.0,4.3,16.0,1.0,11.0,5.0,22.0,7.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,16.0,176.0,80.0,352.0,112.0,16.0,0.0,32.0,16.0,0.0,0.0,0.0,0.0
Mitchell Evans,4.0,39.7,0.1,0.0,4.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tanner Hudson,3.0,26.3,0.2,0.0,3.6,11.0,2.0,14.0,5.0,9.0,9.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,22.0,154.0,55.0,99.0,99.0,33.0,0.0,22.0,22.0,0.0,0.0,11.0,0.0
Tucker Fisk,2.6,25.7,0.1,0.0,3.2,9.0,1.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,36.0,18.0,18.0,18.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0
Erick All Jr.,2.4,20.3,0.2,0.0,3.1,9.0,2.0,18.0,8.0,8.0,10.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,18.0,162.0,72.0,72.0,90.0,18.0,0.0,18.0,18.0,0.0,0.0,9.0,0.0
Zach Davidson,1.9,19.0,0.2,0.0,2.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jack Stoll,2.5,23.7,0.0,0.0,2.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Martin-Robinson,1.9,18.6,0.1,0.0,2.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Feleipe Franks,1.8,17.7,0.1,0.0,2.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blake Whiteheart,1.9,18.1,0.1,0.0,2.4,11.0,1.0,5.0,4.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,55.0,44.0,77.0,11.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0
James Mitchell,1.8,17.4,0.1,0.0,2.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chris Manhertz,1.9,18.4,0.1,0.0,2.2,17.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Tonyan,1.0,10.0,0.0,0.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nick Vannett,1.0,10.0,0.0,0.0,1.0,13.0,1.0,10.0,2.0,2.0,8.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0,130.0,26.0,26.0,104.0,26.0,0.0,26.0,13.0,0.0,0.0,0.0,0.0
Harrison Bryant,0.5,5.5,0.0,0.0,0.6,6.0,2.0,14.0,3.0,7.0,12.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,12.0,84.0,18.0,42.0,72.0,24.0,0.0,12.0,12.0,0.0,0.0,6.0,0.0
Tyree Jackson,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Carlson,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Donald Parham Jr.,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Josiah Deguara,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalton Keene,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albert Okwuegbunam Jr.,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sean McKeon,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shane Zylstra,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tyler Mabry,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ko Kieft,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cole Turner,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John FitzPatrick,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nick Muse,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jake Tonges,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nikola Kalinic,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cameron Latu,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Justin Shorter,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zack Kuntz,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Princeton Fant,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cole Fotheringham,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Stephens Jr.,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colson Yankoff,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thomas Odukoya,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E.J. Jenkins,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baylor Cupp,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jack Westover,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Caleb Lohner,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mitchell Wilcox,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
