Player,RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,REC PER GAME,YDS PER GAME,YBC PER GAME,AIR PER GAME,YAC PER GAME,YACON PER GAME,BRKTKL PER GAME,TGT PER GAME,CATCHABLE PER GAME,DROP PER GAME,RZ TGT PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,TOTAL_REC,TOTAL_YDS,TOTAL_YBC,TOTAL_AIR,TOTAL_YAC,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TGT,TOTAL_CATCHABLE,TOTAL_DROP,TOTAL_RZ_TGT,TOTAL_10YDS,TOTAL_20YDS
Tre' Harris,40.8,544.9,3.4,0.7,3.8,0.0,0.7,74.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Calvin Austin III,39.6,528.8,3.4,2.3,11.8,0.1,0.5,73.7,17.0,2.0,32.0,23.0,42.0,9.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,34.0,544.0,391.0,714.0,153.0,34.0,0.0,51.0,34.0,0.0,0.0,17.0,17.0
Alec Pierce,29.3,528.9,3.3,0.0,0.0,0.0,0.1,72.6,16.0,2.0,52.0,44.0,93.0,7.0,2.0,0.0,4.0,3.0,0.0,0.0,2.0,1.0,32.0,832.0,704.0,1488.0,112.0,32.0,0.0,64.0,48.0,0.0,0.0,32.0,16.0
Jalen McMillan,35.5,445.9,4.3,2.3,18.7,0.0,0.5,71.4,13.0,3.0,35.0,25.0,54.0,10.0,2.0,0.0,4.0,3.0,0.0,1.0,2.0,1.0,39.0,455.0,325.0,702.0,130.0,26.0,0.0,52.0,39.0,0.0,13.0,26.0,13.0
Quentin Johnston,34.9,458.8,4.1,1.7,7.2,0.0,0.4,70.8,15.0,4.0,47.0,27.0,66.0,20.0,6.0,1.0,6.0,4.0,0.0,1.0,2.0,1.0,60.0,705.0,405.0,990.0,300.0,90.0,15.0,90.0,60.0,0.0,15.0,30.0,15.0
Diontae Johnson,43.0,526.9,2.7,0.0,2.3,0.0,0.7,68.0,11.0,3.0,34.0,26.0,66.0,8.0,2.0,0.0,6.0,3.0,0.0,1.0,2.0,0.0,33.0,374.0,286.0,726.0,88.0,22.0,0.0,66.0,33.0,0.0,11.0,22.0,0.0
Kyle Williams,38.8,492.5,2.9,2.1,13.3,0.0,0.4,67.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dyami Brown,39.4,502.3,2.8,0.7,6.8,0.0,0.5,66.8,15.0,2.0,21.0,6.0,19.0,15.0,5.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,30.0,315.0,90.0,285.0,225.0,75.0,0.0,45.0,30.0,0.0,0.0,15.0,0.0
Jalen Nailor,32.9,430.3,3.9,1.8,4.1,0.0,0.4,66.1,17.0,2.0,24.0,18.0,28.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,34.0,408.0,306.0,476.0,102.0,34.0,0.0,34.0,34.0,0.0,0.0,17.0,0.0
Darius Slayton,34.1,511.3,2.4,1.4,6.1,0.0,0.2,66.1,16.0,2.0,36.0,28.0,58.0,8.0,5.0,0.0,4.0,3.0,0.0,0.0,2.0,1.0,32.0,576.0,448.0,928.0,128.0,80.0,0.0,64.0,48.0,0.0,0.0,32.0,16.0
Tutu Atwell,39.1,497.9,2.2,4.3,20.2,0.1,0.1,65.3,17.0,2.0,33.0,26.0,41.0,7.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,34.0,561.0,442.0,697.0,119.0,17.0,0.0,68.0,51.0,0.0,0.0,17.0,17.0
Brandin Cooks,40.1,459.8,3.1,1.7,3.8,0.0,0.1,65.0,10.0,3.0,26.0,20.0,63.0,6.0,1.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,30.0,260.0,200.0,630.0,60.0,10.0,0.0,50.0,30.0,0.0,10.0,10.0,0.0
DeAndre Hopkins,32.0,416.4,3.9,0.0,0.5,0.0,0.1,64.9,16.0,4.0,38.0,31.0,53.0,7.0,2.0,0.0,5.0,4.0,0.0,1.0,2.0,0.0,64.0,608.0,496.0,848.0,112.0,32.0,0.0,80.0,64.0,0.0,16.0,32.0,0.0
Nick Westbrook-Ikhine,31.4,427.0,3.7,0.0,1.3,0.0,0.1,64.6,14.0,2.0,36.0,27.0,49.0,9.0,2.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,28.0,504.0,378.0,686.0,126.0,28.0,0.0,56.0,42.0,0.0,14.0,14.0,0.0
Josh Reynolds,35.0,460.6,2.9,0.0,0.0,0.0,0.1,62.9,8.0,2.0,24.0,20.0,33.0,4.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,16.0,192.0,160.0,264.0,32.0,16.0,0.0,24.0,16.0,0.0,0.0,8.0,8.0
Ray-Ray McCloud III,40.2,434.3,2.3,7.8,53.1,0.2,1.2,61.0,17.0,4.0,40.0,21.0,35.0,20.0,7.0,0.0,5.0,4.0,0.0,0.0,2.0,0.0,68.0,680.0,357.0,595.0,340.0,119.0,0.0,85.0,68.0,0.0,0.0,34.0,0.0
Jalen Tolbert,34.3,400.6,3.5,0.0,0.0,0.0,0.1,60.9,17.0,3.0,36.0,26.0,53.0,10.0,2.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,51.0,612.0,442.0,901.0,170.0,34.0,0.0,85.0,51.0,0.0,17.0,17.0,0.0
Tre Tucker,30.3,388.5,2.3,5.6,31.5,0.3,0.1,57.6,17.0,3.0,32.0,19.0,60.0,12.0,3.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,51.0,544.0,323.0,1020.0,204.0,51.0,0.0,85.0,51.0,0.0,0.0,17.0,0.0
Andrei Iosivas,30.4,363.3,3.4,0.0,0.0,0.0,0.1,56.6,17.0,2.0,28.0,24.0,40.0,4.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,34.0,476.0,408.0,680.0,68.0,17.0,0.0,68.0,34.0,0.0,17.0,17.0,0.0
Marquez Valdes-Scantling,24.2,402.7,2.3,2.6,10.0,0.1,0.0,55.7,13.0,1.0,32.0,21.0,59.0,11.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,13.0,416.0,273.0,767.0,143.0,26.0,0.0,39.0,26.0,0.0,0.0,13.0,13.0
Jordan Whittington,34.1,397.6,2.4,1.1,13.9,0.0,0.1,55.6,15.0,1.0,20.0,6.0,7.0,14.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,15.0,300.0,90.0,105.0,210.0,30.0,0.0,30.0,15.0,0.0,0.0,15.0,0.0
Jalen Coker,32.9,428.6,2.1,0.0,2.3,0.0,0.1,55.5,11.0,3.0,43.0,28.0,47.0,16.0,3.0,0.0,4.0,3.0,0.0,1.0,2.0,1.0,33.0,473.0,308.0,517.0,176.0,33.0,0.0,44.0,33.0,0.0,11.0,22.0,11.0
Tory Horton,33.5,426.7,2.1,1.0,8.7,0.0,0.7,54.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dont'e Thornton Jr.,29.1,393.3,2.3,0.0,3.0,0.0,0.1,53.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dontayvion Wicks,27.5,346.4,3.0,0.0,1.3,0.0,0.0,52.8,17.0,2.0,24.0,16.0,48.0,8.0,3.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0,34.0,408.0,272.0,816.0,136.0,51.0,0.0,68.0,51.0,17.0,17.0,17.0,0.0
Pat Bryant,30.7,375.6,2.6,0.0,0.0,0.0,0.1,52.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adonai Mitchell,26.6,368.5,2.3,2.5,11.5,0.1,0.2,51.9,17.0,1.0,18.0,12.0,45.0,6.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,17.0,306.0,204.0,765.0,102.0,34.0,0.0,51.0,34.0,0.0,0.0,17.0,0.0
Noah Brown,31.8,406.4,1.9,0.0,0.0,0.0,0.1,51.8,11.0,3.0,41.0,34.0,60.0,8.0,3.0,0.0,5.0,4.0,0.0,0.0,2.0,0.0,33.0,451.0,374.0,660.0,88.0,33.0,0.0,55.0,44.0,0.0,0.0,22.0,0.0
Christian Watson,19.9,366.6,2.3,4.3,17.0,0.0,0.4,51.6,15.0,2.0,41.0,31.0,63.0,10.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,1.0,30.0,615.0,465.0,945.0,150.0,15.0,0.0,60.0,30.0,0.0,15.0,15.0,15.0
Russell Gage Jr.,31.4,360.5,2.5,0.0,0.0,0.0,0.0,51.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Troy Franklin,27.2,342.5,2.7,1.1,5.8,0.0,0.1,50.9,16.0,2.0,16.0,6.0,43.0,10.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,32.0,256.0,96.0,688.0,160.0,32.0,0.0,48.0,32.0,0.0,0.0,16.0,0.0
Allen Lazard,27.5,353.8,2.5,0.0,0.0,0.0,0.1,50.1,12.0,3.0,44.0,31.0,57.0,13.0,6.0,0.0,5.0,4.0,1.0,1.0,2.0,1.0,36.0,528.0,372.0,684.0,156.0,72.0,0.0,60.0,48.0,12.0,12.0,24.0,12.0
Jaylin Noel,27.2,326.9,2.3,0.0,13.0,0.0,0.1,47.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Elic Ayomanor,28.6,336.3,2.2,0.0,7.5,0.0,0.1,47.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
K.J. Osborn,28.7,318.5,2.5,0.0,0.0,0.0,0.0,46.8,7.0,1.0,8.0,6.0,15.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,56.0,42.0,105.0,14.0,0.0,0.0,21.0,7.0,0.0,0.0,0.0,0.0
Curtis Samuel,27.0,271.5,2.5,6.6,29.3,0.1,0.1,45.4,14.0,2.0,18.0,7.0,15.0,11.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,28.0,252.0,98.0,210.0,154.0,28.0,0.0,42.0,28.0,0.0,0.0,14.0,0.0
Tai Felton,24.8,298.9,2.3,0.0,3.7,0.0,0.0,44.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Miller,25.3,289.4,2.5,0.0,0.0,0.0,0.0,44.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kayshon Boutte,22.5,301.7,2.0,0.0,0.0,0.0,0.0,42.0,15.0,3.0,39.0,29.0,66.0,10.0,3.0,0.0,5.0,3.0,0.0,0.0,1.0,1.0,45.0,585.0,435.0,990.0,150.0,45.0,0.0,75.0,45.0,0.0,0.0,15.0,15.0
Greg Dortch,27.1,269.3,2.0,4.8,30.6,0.1,0.4,41.8,17.0,2.0,20.0,3.0,12.0,17.0,6.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,34.0,340.0,51.0,204.0,289.0,102.0,0.0,51.0,34.0,0.0,0.0,17.0,0.0
Van Jefferson,23.5,300.4,1.9,0.0,0.0,0.0,0.1,41.0,15.0,2.0,18.0,13.0,31.0,5.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,30.0,270.0,195.0,465.0,75.0,15.0,0.0,45.0,30.0,0.0,15.0,15.0,0.0
Ja'Lynn Polk,24.7,298.7,1.8,0.0,0.0,0.0,0.0,40.7,15.0,1.0,6.0,5.0,25.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,90.0,75.0,375.0,15.0,0.0,0.0,30.0,15.0,0.0,0.0,0.0,0.0
Malik Washington,27.5,288.9,1.8,2.0,13.8,0.1,0.6,40.4,14.0,2.0,16.0,7.0,15.0,9.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,28.0,224.0,98.0,210.0,126.0,28.0,0.0,42.0,28.0,0.0,0.0,14.0,0.0
Devaughn Vele,24.9,275.6,2.1,0.0,1.7,0.0,0.1,40.1,13.0,3.0,37.0,27.0,35.0,10.0,3.0,0.0,4.0,3.0,0.0,1.0,1.0,1.0,39.0,481.0,351.0,455.0,130.0,39.0,0.0,52.0,39.0,0.0,13.0,13.0,13.0
Roman Wilson,21.8,276.6,1.9,0.0,0.0,0.0,0.1,39.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tim Patrick,20.5,258.1,2.0,0.0,0.0,0.0,0.1,37.6,16.0,2.0,25.0,16.0,27.0,9.0,3.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,32.0,400.0,256.0,432.0,144.0,48.0,0.0,48.0,32.0,0.0,16.0,16.0,0.0
Demarcus Robinson,15.8,251.1,2.0,0.0,1.0,0.0,0.1,37.1,17.0,2.0,30.0,26.0,54.0,4.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,1.0,34.0,510.0,442.0,918.0,68.0,17.0,0.0,68.0,34.0,0.0,17.0,17.0,17.0
Skyy Moore,22.3,267.1,1.7,0.0,0.0,0.0,0.0,36.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KaVontae Turpin,16.8,204.0,1.4,8.5,58.6,0.5,0.7,36.3,17.0,2.0,25.0,9.0,26.0,15.0,4.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,34.0,425.0,153.0,442.0,255.0,68.0,0.0,51.0,34.0,0.0,0.0,17.0,0.0
Parker Washington,24.7,261.7,1.6,0.0,8.5,0.0,0.1,36.3,17.0,2.0,23.0,17.0,34.0,6.0,4.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,34.0,391.0,289.0,578.0,102.0,68.0,0.0,51.0,34.0,0.0,0.0,17.0,0.0
Jermaine Burton,18.1,239.7,2.0,0.0,2.0,0.0,0.1,35.7,14.0,0.0,8.0,6.0,21.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,84.0,294.0,28.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Chimere Dike,18.9,246.0,1.6,2.1,8.9,0.0,0.1,35.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tyler Johnson,20.6,217.8,1.6,0.0,0.0,0.0,0.0,31.4,11.0,2.0,26.0,10.0,21.0,17.0,13.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,22.0,286.0,110.0,231.0,187.0,143.0,0.0,44.0,22.0,0.0,11.0,11.0,0.0
JuJu Smith-Schuster,19.4,211.0,1.5,0.0,0.0,0.0,0.1,29.8,14.0,1.0,17.0,5.0,10.0,11.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,14.0,238.0,70.0,140.0,154.0,28.0,0.0,28.0,14.0,0.0,0.0,14.0,0.0
Luke McCaffrey,19.4,203.1,1.5,0.0,1.0,0.0,0.1,29.0,17.0,1.0,10.0,4.0,10.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,170.0,68.0,170.0,102.0,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0
Jalen Royals,15.7,188.1,1.4,0.0,2.5,0.0,0.0,27.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kendrick Bourne,17.6,199.6,1.1,1.1,6.8,0.0,0.1,27.0,12.0,2.0,25.0,18.0,29.0,8.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,24.0,300.0,216.0,348.0,96.0,36.0,0.0,36.0,36.0,0.0,0.0,12.0,0.0
A.T. Perry,13.7,180.5,1.5,0.0,0.0,0.0,0.0,26.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Robert Woods,18.4,192.9,1.2,0.0,0.0,0.0,0.1,26.5,14.0,1.0,15.0,9.0,21.0,5.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,14.0,210.0,126.0,294.0,70.0,14.0,0.0,28.0,28.0,0.0,0.0,14.0,0.0
Zay Jones,16.8,179.7,1.3,0.0,2.0,0.0,0.1,25.6,11.0,1.0,8.0,6.0,9.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,88.0,66.0,99.0,22.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0
Kalif Raymond,14.7,185.7,1.2,0.0,4.0,0.0,0.6,24.9,12.0,1.0,18.0,7.0,15.0,11.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,12.0,216.0,84.0,180.0,132.0,12.0,0.0,24.0,12.0,0.0,0.0,12.0,0.0
Jahan Dotson,15.4,178.4,1.1,0.0,1.7,0.0,0.0,24.8,17.0,1.0,13.0,8.0,19.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,17.0,221.0,136.0,323.0,68.0,17.0,0.0,34.0,17.0,0.0,0.0,17.0,0.0
Elijah Moore,14.5,159.6,1.2,0.0,1.3,0.0,0.0,23.4,17.0,4.0,32.0,24.0,59.0,8.0,2.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0,68.0,544.0,408.0,1003.0,136.0,34.0,0.0,102.0,68.0,0.0,0.0,17.0,0.0
Jalin Hyatt,13.1,174.0,0.9,0.0,0.0,0.0,0.0,22.8,16.0,1.0,4.0,4.0,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,64.0,64.0,368.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0
Isaac TeSlaa,10.7,155.2,1.1,0.0,0.0,0.0,0.0,22.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Malachi Corley,13.8,147.0,0.9,2.3,13.5,0.1,0.1,21.9,7.0,0.0,2.0,2.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,49.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
Xavier Hutchinson,14.0,152.0,1.0,0.0,0.0,0.0,0.0,21.0,16.0,1.0,7.0,5.0,16.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,16.0,112.0,80.0,256.0,32.0,16.0,0.0,32.0,16.0,0.0,0.0,0.0,0.0
Michael Gallup,11.6,130.8,1.0,0.0,0.0,0.0,0.0,19.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jake Bobo,11.8,138.2,0.9,0.0,0.0,0.0,0.0,19.0,17.0,1.0,6.0,5.0,8.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,102.0,85.0,136.0,34.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0
Jaylin Lane,10.4,120.0,0.8,2.2,13.5,0.1,0.1,18.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Irvin Charles,12.4,132.6,0.9,0.0,0.0,0.0,0.0,18.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DJ Chark Jr.,9.4,128.2,0.9,0.0,0.0,0.0,0.0,18.4,4.0,1.0,8.0,6.0,29.0,2.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,32.0,24.0,116.0,8.0,4.0,0.0,12.0,4.0,0.0,4.0,0.0,0.0
Arian Smith,11.2,134.3,0.7,0.0,3.5,0.0,0.0,17.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jha'Quan Jackson,11.4,138.2,0.8,0.0,1.7,0.0,0.5,17.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Savion Williams,9.1,104.8,0.8,4.4,16.4,0.1,0.0,17.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tim Jones,10.5,116.5,1.0,0.0,0.0,0.0,0.1,17.3,8.0,0.0,5.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,24.0,40.0,16.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Mack Hollins,9.2,115.4,0.9,0.0,1.7,0.0,0.1,17.1,17.0,2.0,22.0,17.0,33.0,5.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,34.0,374.0,289.0,561.0,85.0,17.0,0.0,51.0,34.0,0.0,0.0,17.0,0.0
Erik Ezukanma,10.8,120.8,0.8,0.0,0.0,0.0,0.0,16.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
