Player,Team (Bye),RB,Overall,CBS,Sleeper,RTSports,AVG,RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected)
Saquon Barkley,PHI (9),1,3,1.0,1.0,3.0,1.7,327.8,1661.5,10.8,41.9,318.2,2.2,1.4,273.1
Bijan Robinson,ATL (5),2,2,2.0,2.0,1.0,1.7,304.4,1420.0,11.4,56.9,427.9,2.1,1.4,263.2
Jahmyr Gibbs,DET (8),3,4,3.0,3.0,2.0,2.7,239.9,1239.5,11.7,57.7,508.8,2.8,1.3,258.9
Derrick Henry,BAL (7),4,12,4.0,4.0,7.0,5.0,295.2,1508.5,13.3,16.4,153.1,0.9,1.4,248.4
Christian McCaffrey,SF (14),5,11,6.0,6.0,4.0,5.3,233.2,1062.6,7.9,65.1,570.1,3.6,1.8,228.4
Ashton Jeanty,LV (8),6,10,7.0,5.0,5.0,5.7,273.0,1204.0,9.0,46.3,366.3,1.9,2.4,217.4
De'Von Achane,MIA (12),7,15,8.0,7.0,6.0,7.0,223.3,1032.9,7.8,69.5,513.7,4.1,1.3,223.1
Josh Jacobs,GB (5),8,18,5.0,9.0,8.0,7.3,284.2,1211.8,11.3,38.1,316.0,1.5,1.5,226.1
Bucky Irving,TB (9),9,17,11.0,8.0,10.0,9.7,234.7,1110.7,8.3,44.4,343.3,1.7,1.4,202.5
Jonathan Taylor,IND (11),10,21,10.0,10.0,11.0,10.3,297.7,1359.2,9.6,25.7,194.4,1.1,1.6,216.5
Kyren Williams,LAR (8),11,26,9.0,11.0,12.0,10.7,275.7,1192.4,11.2,33.7,213.8,1.7,2.3,213.0
Chase Brown,CIN (10),12,22,13.0,12.0,9.0,11.3,234.6,984.0,7.8,54.0,377.5,2.7,1.4,196.3
Breece Hall,NYJ (9),13,29,15.0,13.0,13.0,13.7,224.5,1000.0,5.9,46.7,383.8,2.1,1.9,182.6
James Cook,BUF (7),14,34,12.0,14.0,16.0,14.0,222.0,1049.7,9.5,31.4,258.5,1.9,1.4,196.1
Alvin Kamara,NO (11),15,37,14.0,16.0,15.0,15.0,215.5,903.5,5.1,63.0,475.6,2.0,1.3,178.0
Omarion Hampton,LAC (12),16,35,20.0,15.0,14.0,16.3,213.0,938.2,8.3,34.7,268.8,1.5,2.1,175.3
Kenneth Walker III,SEA (8),17,43,16.0,17.0,17.0,16.7,234.8,968.3,8.2,43.3,309.2,1.3,1.3,182.0
Chuba Hubbard,CAR (14),18,45,19.0,19.0,18.0,18.7,229.8,1031.9,7.6,37.8,229.8,1.1,1.8,174.3
James Conner,ARI (8),19,48,17.0,20.0,21.0,19.3,213.9,971.1,7.8,41.2,314.9,1.7,1.4,182.6
David Montgomery,DET (8),20,56,21.0,21.0,24.0,22.0,196.6,819.0,8.9,31.4,258.5,0.9,1.0,164.5
TreVeyon Henderson,NE (14),21,51,25.0,24.0,19.0,22.7,202.4,891.8,5.7,33.3,258.5,1.5,1.7,154.8
Joe Mixon,HOU (6),22,57,23.0,18.0,28.0,23.0,206.7,822.4,7.5,33.4,258.7,1.3,0.9,159.2
Aaron Jones Sr.,MIN (6),23,64,18.0,26.0,25.0,23.0,198.6,890.7,4.6,44.1,325.8,2.2,1.8,158.9
D'Andre Swift,CHI (5),24,59,22.0,28.0,20.0,23.3,238.7,967.1,6.1,36.7,283.0,1.2,1.1,167.0
RJ Harvey,DEN (12),25,53,27.0,22.0,22.0,23.7,174.0,761.6,5.2,33.6,257.3,1.6,1.0,140.9
Isiah Pacheco,KC (10),26,63,29.0,23.0,26.0,26.0,203.7,838.2,5.7,32.9,225.1,1.0,1.0,144.8
Kaleb Johnson,PIT (5),27,67,28.0,29.0,23.0,26.7,202.7,858.1,6.6,23.2,178.1,1.0,1.7,145.6
Tony Pollard,TEN (10),28,68,26.0,27.0,27.0,26.7,227.5,958.5,5.4,40.2,257.9,0.9,1.0,157.2
Brian Robinson Jr.,WAS (12),29,81,24.0,31.0,31.0,28.7,196.7,809.6,7.3,23.4,175.8,1.0,1.4,145.6
Tyrone Tracy Jr.,NYG (14),30,77,33.0,30.0,29.0,30.7,188.6,801.6,5.0,35.2,259.4,1.1,1.6,139.1
Jaylen Warren,PIT (5),31,82,36.0,32.0,30.0,32.7,148.8,677.1,3.8,47.1,343.1,1.1,1.0,129.0
Quinshon Judkins,CLE (9),32,85,38.0,25.0,40.0,34.3,151.5,640.4,4.1,22.4,168.4,0.9,1.2,108.1
Cam Skattebo,NYG (14),33,98,32.0,37.0,37.0,35.3,129.4,555.6,3.6,24.8,190.7,0.9,1.2,99.3
Najee Harris,LAC (12),34,102,30.0,33.0,44.0,35.7,141.4,567.3,5.0,22.0,159.5,0.8,0.8,105.8
Travis Etienne Jr.,JAC (8),35,89,41.0,34.0,32.0,35.7,141.1,577.1,3.7,37.7,279.0,1.2,0.9,112.7
Zach Charbonnet,SEA (8),36,101,34.0,38.0,36.0,36.0,126.7,536.0,4.5,33.2,244.8,0.9,0.8,108.8
J.K. Dobbins,DEN (12),37,116,31.0,43.0,35.0,36.3,148.4,657.8,4.9,29.2,187.9,1.2,1.2,118.9
Javonte Williams,DAL (10),38,96,42.0,35.0,34.0,37.0,174.9,645.7,4.2,35.9,229.5,1.1,0.9,117.5
Jordan Mason,MIN (6),39,103,40.0,40.0,33.0,37.7,163.9,754.4,4.4,17.6,128.1,0.7,0.7,117.8
Tank Bigsby,JAC (8),40,119,35.0,42.0,38.0,38.3,151.8,612.8,5.0,11.2,81.6,0.2,1.2,98.2
Rhamondre Stevenson,NE (14),41,107,39.0,36.0,42.0,39.0,156.7,636.8,4.8,28.0,177.2,1.1,1.5,113.5
Tyjae Spears,TEN (10),42,108,55.0,39.0,39.0,44.3,124.6,498.2,3.7,33.6,251.9,1.0,0.9,101.3
Rachaad White,TB (9),43,125,47.0,41.0,45.0,44.3,114.5,462.5,2.8,37.6,282.9,2.1,1.3,101.7
Jaydon Blue,DAL (10),44,126,48.0,46.0,41.0,45.0,109.2,476.9,2.9,19.3,150.7,0.8,0.8,83.2
Austin Ekeler,WAS (12),45,131,49.0,47.0,46.0,47.3,95.3,414.8,4.1,44.9,367.1,1.8,1.0,111.2
Isaac Guerendo,SF (14),46,133,46.0,48.0,48.0,47.3,113.1,488.7,3.9,10.6,93.2,0.4,0.9,81.9
Bhayshul Tuten,JAC (8),47,143,45.0,45.0,54.0,48.0,91.9,398.0,2.7,17.5,138.0,0.8,0.8,73.2
Jerome Ford,CLE (9),48,132,52.0,51.0,43.0,48.7,120.0,511.5,2.8,28.4,192.5,0.9,0.8,91.1
Ray Davis,BUF (7),49,137,50.0,49.0,49.0,49.3,118.8,499.5,3.7,12.4,105.5,1.0,0.8,87.1
Nick Chubb,HOU (6),50,148,44.0,54.0,51.0,49.7,118.9,484.3,3.8,9.9,75.6,0.4,0.5,80.5
Trey Benson,ARI (8),51,136,53.0,50.0,47.0,50.0,138.1,600.5,3.9,13.9,104.7,0.5,0.9,95.5
Rico Dowdle,CAR (14),52,142,62.0,44.0,55.0,53.7,107.3,459.1,2.6,20.9,143.0,1.1,0.8,80.9
Dylan Sampson,CLE (9),53,154,56.0,53.0,52.0,53.7,118.7,480.9,2.7,23.3,177.5,0.9,0.8,85.9
Tyler Allgeier,ATL (5),54,147,58.0,52.0,53.0,54.3,119.8,549.7,3.3,12.7,92.2,0.3,0.8,84.3
Braelon Allen,NYJ (9),55,150,61.0,55.0,50.0,55.3,100.5,390.9,2.7,16.6,123.1,0.8,0.4,71.9
Roschon Johnson,CHI (5),56,184,51.0,58.0,63.0,57.3,96.6,346.6,5.0,19.0,123.9,0.5,0.4,78.7
Jaylen Wright,MIA (12),57,159,60.0,56.0,56.0,57.3,134.7,565.2,3.7,14.6,100.5,0.6,1.5,88.9
MarShawn Lloyd,GB (5),58,207,54.0,62.0,69.0,61.7,105.6,381.4,2.9,13.5,108.5,0.7,0.8,69.2
Trevor Etienne,CAR (14),59,257,37.0,72.0,79.0,62.7,47.8,191.3,1.5,10.7,86.8,0.4,0.4,38.3
Kendre Miller,NO (11),60,274,43.0,75.0,84.0,67.3,95.0,365.9,3.4,9.7,72.6,0.2,0.4,64.5
Justice Hill,BAL (7),61,180,,61.0,57.0,59.0,41.8,185.1,1.1,27.3,222.3,1.7,0.4,56.6
Kyle Monangai,CHI (5),62,183,,63.0,58.0,60.5,33.4,213.0,1.8,4.4,31.6,0.0,0.0,35.0
Kareem Hunt,KC (10),63,195,,66.0,59.0,62.5,82.4,314.4,3.3,18.3,126.2,0.7,0.1,68.2
Raheem Mostert,LV (8),64,254,59.0,77.0,76.0,70.7,77.5,289.9,2.6,18.1,133.8,0.6,0.8,60.0
Blake Corum,LAR (8),65,196,,57.0,72.0,64.5,96.3,350.7,2.4,12.0,87.5,0.3,0.4,59.5
Jarquez Hunter,LAR (8),66,199,,67.0,62.0,64.5,57.1,245.0,1.9,8.5,69.0,0.4,0.7,43.9
DJ Giddens,IND (11),67,205,,64.0,66.0,65.0,24.1,154.3,1.2,5.8,43.6,0.1,0.0,27.1
Brashard Smith,KC (10),68,204,,60.0,71.0,65.5,9.7,97.0,0.7,10.9,80.3,0.7,0.0,25.5
Woody Marks,HOU (6),69,212,,71.0,60.0,65.5,72.3,259.1,1.8,20.0,146.4,1.0,0.1,56.6
Miles Sanders,DAL (10),70,214,,70.0,65.0,67.5,93.9,404.7,2.3,12.0,77.5,0.6,0.5,64.6
Will Shipley,PHI (9),71,213,,69.0,67.0,68.0,37.4,199.4,1.3,8.3,61.8,0.4,0.1,36.2
Tahj Brooks,CIN (10),72,223,,74.0,64.0,69.0,24.9,225.4,1.9,6.7,48.2,0.1,0.6,38.0
Jacory Croskey-Merritt,WAS (12),73,227,,80.0,61.0,70.5,33.0,169.7,1.4,3.7,27.3,0.1,0.0,28.3
Devin Neal,NO (11),74,226,,59.0,83.0,71.0,38.8,204.6,1.3,7.3,54.5,0.4,0.1,35.9
Samaje Perine,CIN (10),75,324,57.0,,89.0,73.0,51.2,200.4,1.5,21.2,195.7,1.1,0.7,53.5
Keaton Mitchell,BAL (7),76,233,,76.0,70.0,73.0,75.6,330.0,1.7,8.6,83.4,0.5,0.0,54.1
Elijah Mitchell,KC (10),77,251,,82.0,68.0,75.0,62.5,235.9,1.9,8.5,49.6,0.4,0.1,42.2
Jordan James,SF (14),78,249,,65.0,87.0,76.0,26.9,154.8,1.3,3.3,29.5,0.0,0.0,26.1
Jaleel McLaughlin,DEN (12),79,242,,68.0,85.0,76.5,30.5,142.6,0.8,18.2,110.4,0.9,0.5,34.3
Ollie Gordon II,MIA (12),81,267,,73.0,82.0,77.5,31.9,151.3,1.2,5.1,36.3,0.1,0.4,26.1
Audric Estime,DEN (12),82,261,,78.0,77.0,77.5,45.5,148.6,0.9,5.8,40.1,0.2,0.4,25.1
Antonio Gibson,NE (14),83,266,,85.0,73.0,79.0,51.5,209.5,1.0,15.8,127.1,0.5,0.0,42.4
A.J. Dillon,PHI (9),84,277,,,74.0,74.0,50.1,199.1,1.6,3.6,28.6,0.1,0.0,32.7
Sean Tucker,TB (9),85,292,,,80.0,80.0,44.8,231.4,1.4,5.1,40.1,0.3,0.7,36.1
Ty Johnson,BUF (7),86,300,,,81.0,81.0,45.7,208.1,1.0,15.2,165.1,1.5,0.1,51.6
Devin Singletary,NYG (14),87,303,,81.0,86.0,83.5,51.8,234.9,1.5,9.4,63.3,0.1,0.4,39.0
Khalil Herbert,IND (11),88,322,,83.0,,83.0,84.6,325.0,2.1,8.3,54.0,0.2,0.0,51.8
Damien Martinez,SEA (8),89,326,,84.0,,84.0,8.6,97.0,0.6,3.0,22.0,0.0,0.0,15.7
Kenneth Gainwell,PIT (5),90,320,,,88.0,88.0,53.9,196.5,1.3,12.5,88.6,0.4,0.4,37.7
Emanuel Wilson,GB (5),91,327,,,90.0,90.0,41.9,202.7,1.4,7.4,53.9,0.4,0.3,35.6
Dameon Pierce,HOU (6),92,336,,,91.0,91.0,4.5,81.6,0.7,5.8,40.1,0.1,1.0,15.4
Phil Mafah,DAL (10),93,337,,,92.0,92.0,0.0,10.5,0.0,0.5,3.5,0.0,0.0,1.4
Isaiah Davis,NYJ (9),94,339,,,93.0,93.0,28.3,144.5,0.8,5.1,36.3,0.1,0.0,23.7
